Date,Year,Month,Type,Country,Area,Location,Activity,Activity on surface,Table Presence,Sex,Age,Injury,Damage,Time,Species
24/07/1982,1982,July,Unprovoked,USA,California,"Point Buchon, San Luis Obispo County",Body boarding,Yes,Yes,M,26,"No Injury, board bitten",No Fatal,Morning,White Shark
24/08/1981,1981,August,Unknown,USA,Hawaii,"Keaukaha, Hilo, Hawai'i",Fishing,,,M,Unknown,Disappeared while fishing from shore. Leg found 7 days later wedged in rocks 150 yards offshore,Unknown,Unknown,Unknown
06/01/1978,1978,January,Unknown,SOUTH AFRICA,Kwazulu-Natal,Cape Vidal,Unknown,,,M,Unknown,"Human head recovered from 3 m [10'] tiger shark’s gut, probable drowning / scavenging",Unknown,Unknown,Unknown
26/06/1977,1977,June,Provoked,USA,Florida,"12 miles northeast of Mayport,  Duval County",Spearfishing,No,No,M,27,"PROVOKED INCIDENT    Diver poked shark with spear, then shark bit his right foot",No Fatal,Afternoon,Bull Shark
02/12/1975,1975,December,Provoked,AUSTRALIA,New South Wales,"Porpoise Pool, Tweed Heads",Feeding,,,M,35,Tooth mark in left elbow PROVOKED INCIDENT,No Fatal,Unknown,Nurse Shark
19/11/1975,1975,November,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,"South Beach, Durban",Wading,,No,M,33,Left foot lacerated,No Fatal,Morning,Juvenile Dusky Shark
19/01/1975,1975,January,Unprovoked,AUSTRALIA,South Australia,Coffin Bay,Surfing,Yes,Yes,M,17,"FATAL, body not recovered",Fatal,Unknown,Unknown
20/06/1974,1974,June,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,Yes,No,F,61,Lacerations to hip and leg,No Fatal,Morning,Unknown
25/04/1974,1974,April,Sea Disaster,BRAZIL,Unknown,,Fishing,,,M,Unknown,FATAL,Fatal,Unknown,Unknown
14/09/1973,1973,September,Unprovoked,BAHAMAS,Grand Bahama Island,"Memory Rock, 18 miles from NW end of the Island",Spearfishing,No,No,M,11,Left hand & forearm lacerated,No Fatal,Afternoon,Bull Shark
07/12/1970,1970,December,Unprovoked,MICRONESIA,Namonuito Atoll,Pisarach (Pisaras),Fishing,,,M,Unknown,Laceration to thigh,No Fatal,Night,1.8 M Shark
01/10/1970,1970,October,Unprovoked,USA,Florida,"Matanzas Inlet, St Johns County",Surfing,Yes,Yes,M,Unknown,Bitten on right leg above the ankle,No Fatal,Unknown,Unknown
01/07/1968,1968,July,Unknown,MEXICO,Baja California,,Unknown,,,M,43,No injury,Unknown,Afternoon,Not Authenticated
20/04/1968,1968,April,Unprovoked,USA,Florida,"Palm Beach Shores, Riviera Beach, Singer Island, Palm Beach County",Unknown,,,M,10,"Buttock, both legs & arm bitten",No Fatal,Morning,2.7 M [9'] Silky Shark
08/09/1966,1966,September,Provoked,USA,Florida,"Florida Keys, Monroe County",Hunting crayfish,,,M,14,Abdomen abraded when he seized shark PROVOKED INCIDENT,No Fatal,Unknown,Nurse Shark
22/06/1966,1966,June,Provoked,USA,New Jersey,"Reeds Bay, Brigantine, Atlantic County",Clamming,,,M,15,3 lacerations on  right leg by speared fish PROVOKED INCIDENT,No Fatal,Afternoon,Unknown
