Date,Year,Month,Type,Country,Area,Location,Activity,Activity on surface,Table Presence,Sex,Age,Injury,Damage,Time,Species
04/06/1966,1966,June,Unprovoked,USA,Texas,Bolivar Peninsula,Swimming,Yes,No,M,18,Punctures on  thigh & buttock,No Fatal,Afternoon,A Small Shark
29/11/1964,1964,November,Unprovoked,AUSTRALIA,Victoria,Lady Julia Percy Island,Diving,No,No,M,25,Left leg severed,No Fatal,Afternoon,White Shark
01/08/1964,1964,August,Unprovoked,PANAMA,San Blas,Off Achutuppu Island near Ailigandi,Spearfishing,No,No,M,21,Foot lacerated,No Fatal,Unknown,Less Than 1.2 M [4']
22/12/1963,1963,December,Unknown,ATLANTIC OCEAN,Between Southampton & Canary Islands,,"Greek steamship lakonia caught fire, 98 of her 646 passengers, and 30 of her crew of 376 perished",,,F,Unknown,"One woman reported to have suffered fish bites, but cause of her death was exposure & drowning",Unknown,Unknown,Unknown
13/09/1963,1963,September,Provoked,AUSTRALIA,New South Wales,Wanda Beach,Surfing,Yes,Yes,M,18,A dead shark grabbed by the tail bit his right torso PROVOKED INCIDENT,No Fatal,Morning,1.5 M [5'] Shark
03/07/1962,1962,July,Unknown,GREECE,Cyclades,Near Mykonos Island,Unknown,,,Unknown,Unknown,No injury,Unknown,Unknown,Unknown
23/02/1962,1962,February,Unprovoked,PAPUA NEW GUINEA,Central Province,Fisherman’s Island near Port Moresby,Swimming,Yes,No,M,Unknown,Torso lacerated,No Fatal,Unknown,1.2 M  [4'] Shark
27/12/1961,1961,December,Provoked,AUSTRALIA,Western Australia,"North of main swimming area in Waterman's Bay Beach, Perth",Spearfishing,No,No,M,23,"No injury, Parker shot the shark when it came close to his nephew, Bill Bradbury (14), then the shark bent his speargun PROVOKED INCIDENT",No Fatal,Morning,Nurse Shark
07/09/1961,1961,September,Unprovoked,PERSIAN GULF,25 Km Off The Coast Of Iran & 483Km From Mouth Of Persian Gulf,Khark Island,Diving,No,No,M,Unknown,3 cut on sole of foot,No Fatal,Morning,1.5 M To 1.8 M  [5' To 6'] Shark
01/01/1961,1961,January,Unknown,AUSTRALIA,New South Wales,South coast,Watercraft,,,Unknown,Unknown,"No injury to occupant, shark took hooked fish then bit stern of boat",No Fatal,Unknown,Unknown
01/01/1961,1961,January,Unprovoked,SENEGAL,Cap Vert Peninsula,Thiaroye Guedi,Diving,No,No,M,20,FATAL,Fatal,Unknown,> 3 M Shark
22/08/1960,1960,August,Unprovoked,USA,New Jersey,"Seaside Park, Ocean County",Unknown,,,M,14,Knee ripped to bone,No Fatal,Unknown,Unknown
27/06/1960,1960,June,Provoked,NEW ZEALAND,Cook Strait,Tory Channel,Fishing,,,Unknown,Unknown,Harpooned shark bit boat PROVOKED INCIDENT,No Fatal,Unknown,White Shark
28/02/1959,1959,February,Unknown,AUSTRALIA,Victoria,Port Phillip Bay,Watercraft,,,M,Unknown,"No injury to occupants. Shark leapt into boat, momentarily pinning Crew against the side",No Fatal,Unknown,Mako Shark
01/01/1959,1959,January,Unprovoked,PAPUA NEW GUINEA,"New Ireland Province, Bismarck Archipelago","Enuk Island, Kavieng",Unknown,,,M,Unknown,"FATAL, abdomen & leg bitten",Fatal,Unknown,Unknown
01/08/1956,1956,August,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,"Chain Rocks, Amanzimtoti",Diving,No,No,M,23,"No injury, right swim fin bitten",No Fatal,Afternoon,Unknown
01/01/1955,1955,January,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Unknown,,,Unknown,Unknown,No details,Unknown,Unknown,Unknown
29/12/1954,1954,December,Unprovoked,AMERICAN SAMOA,Tutuila Island,Near tuna cannery in Pago Pago Harbor,Swimming,Yes,No,M,27,FATAL,Fatal,Unknown,Unknown
04/09/1954,1954,September,Unprovoked,AUSTRALIA,Torres Strait,"Darnley Island, Torres Strait",Spearfishing,No,No,M,35,"FATAL, after being bitten by shark, he was picked up by 85' trochus vessel Toorah that wrecked. His wounds reopened & he died",Fatal,Unknown,9' Shark
01/01/1954,1954,January,Unprovoked,USA,Hawaii,Moloka'i,Fishing,,,M,Unknown,Bitten on foot,No Fatal,Unknown,A Small Shark'
26/07/1953,1953,July,Unprovoked,USA,Hawaii,"Maile Beach, O'ahu",Spearfishing,No,No,M,15,"FATAL, thigh bitten",Fatal,Morning,3 M [10'] Shark Seen In Vicinity
19/03/1953,1953,March,Unprovoked,AUSTRALIA,South Australia,"Schnapper Rock, Kirton Point",Spearfishing,No,No,M,Unknown,Abrasion,No Fatal,Unknown,8' Shark
25/11/1950,1950,November,Unprovoked,AUSTRALIA,Queensland,"Burleigh Heads, Brisbane",Surfing,Yes,Yes,M,21,Part of buttocks & fingers severed,No Fatal,Afternoon,White Shark
16/05/1949,1949,May,Unprovoked,AUSTRALIA,Western Australia,Broome,Bathing,Yes,No,F,22,"Left arm severed above elbow, recovered 5 days afterwards from shark’s gut",No Fatal,Unknown,Whaler Shark
16/09/1945,1945,September,Sea Disaster,JAPAN,Ryukyu,,Swimming,Yes,No,M,Unknown,FATAL,Fatal,Unknown,Unknown
30/07/1945,1945,July,Sea Disaster,PHILIPPINES,In Transit Between Tinian And Leyte,200 miles Leyte,American cruiser indianapolis torpedoed & sunk by the japanese submarine i-58,,,Unknown,Unknown,"About 300  crew perished during the sinking, the remainder abandoned ship. Many who survived the loss of the ship were taken by sharks. In all, only 316 of her crew of 1,196 survived.",Fatal,Unknown,Unknown
23/10/1944,1944,October,Unknown,AUSTRALIA,Queensland,Tewantin,Watercraft,,,Unknown,Unknown,No injury to occupants; shark bit dinghy leaving tooth fragments in  its woodwork,No Fatal,Unknown,Unknown
26/01/1943,1943,January,Sea Disaster,PACIFIC OCEAN,Northwest Of Papua New Guinea,,The uss wahoo torpedoes & sank the japanese troop transport buyo maru,,,M,Unknown,FATAL,Fatal,Unknown,Unknown
13/11/1942,1942,November,Sea Disaster,SOLOMON ISLANDS,Unknown,Off Guadalcanal,Swimming,Yes,No,M,Unknown,"Injured by sharks, but managed to swim ashore 6.5 hours later",No Fatal,Unknown,Unknown
01/01/1942,1942,January,Provoked,AUSTRALIA,New South Wales,"Fairy Bower, near North Steyne",Surfing,Yes,Yes,M,Unknown,Attempted to frighten shark by smacking water with paddle. Shark bit paddle.  No injury to surf-skier PROVOKED INCIDENT,No Fatal,Unknown,3 M [10'] Shark
15/06/1941,1941,June,Provoked,USA,New York,15 miles south of Jones Inlet,Fishing,,,M,43,Left hand bitten as he tried to put rope around shark's tail PROVOKED INCIDENT,No Fatal,Afternoon,2.1 M [7'] Shark
15/01/1940,1940,January,Unprovoked,AUSTRALIA,Queensland,"Surfers Paradise, near Southport",Swimming,Yes,No,M,22,Chest lacerated,No Fatal,Afternoon,Unknown
27/09/1939,1939,September,Unprovoked,AUSTRALIA,Torres Strait,Near Mabuiag Island,Diving,No,No,M,Unknown,"Leg severely bitten, surgically amputated",No Fatal,Unknown,Tiger Shark
16/08/1937,1937,August,Unknown,TURKEY,Unknown,Istanbul,Swimming,Yes,No,M,Unknown,"No injury, no attack",Unknown,Unknown,Unknown
12/07/1936,1936,July,Unknown,USA,New Jersey,"Long Branch, Monmouth County (offshore)",Watercraft,,,Unknown,Unknown,"No injury to occupants, shark leapt onboard boat",No Fatal,Afternoon,Blue Shark
09/10/1934,1934,October,Unprovoked,AUSTRALIA,Northern Territory,"Redcliff, Cobourg Peninsula",Bathing,Yes,No,F,38,FATAL,Fatal,Unknown,Unknown
12/03/1934,1934,March,Unprovoked,AUSTRALIA,New South Wales,"Dee Why, north of Queenscliff",Swimming,Yes,No,M,17,"FATAL, leg & buttocks removed",Fatal,Afternoon,4 M [13'] Shark Seen In Vicinity
25/10/1933,1933,October,Unprovoked,AUSTRALIA,Queensland,Off Bloomfield River,Diving,No,No,M,Unknown,Hand severed,No Fatal,Unknown,Unknown
10/04/1933,1933,April,Unprovoked,USA,Florida,"Miami Beach, Miami-Dade County",Swimming,Yes,No,M,24,FATAL,Fatal,Unknown,Bull Shark
21/09/1931,1931,September,Unprovoked,USA,Florida,"Municipal Beach, West Palm Beach, Palm Beach County",Swimming,Yes,No,M,Unknown,Minor injury,No Fatal,Unknown,Unknown
22/03/1931,1931,March,Unprovoked,AUSTRALIA,Queensland,"Ross River, Townsville",Fishing,,,M,19,"FATAL, left thigh severely bitten",Fatal,Unknown,Unknown
07/01/1931,1931,January,Unprovoked,AUSTRALIA,Queensland,"Yeppoon, near Ross Creek",Swimming,Yes,No,M,18,Severe bump & few superficial wounds,No Fatal,Afternoon,1.5 M [5'] Shark
11/05/1930,1930,May,Unknown,COSTA RICA,Limón Province,Off Porto Limon,Air disaster,,,Unknown,Unknown,Shark involvement prior to death was not confirmed,Unknown,Unknown,Unknown
21/12/1929,1929,December,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Diving,No,No,M,Unknown,Recovered at Thursday Island Hospital,No Fatal,Unknown,Unknown
01/01/1929,1929,January,Unknown,AUSTRALIA,New South Wales,Sydney Harbor,Swimming,Yes,No,M,Unknown,"Later found to be fiction, never happened",Unknown,Unknown,Unknown
14/02/1927,1927,February,Provoked,NICARAGUA,Salinas Bay,"A shark was caught, its head severed from body and hung from the anchor davit onboard the U.S.S. Borie",Feeling the shark’s teeth,,,M,Unknown,"Sharks’s jaws snapped shut, lacerating his right hand PROVOKED INCIDENT",No Fatal,Unknown,Unknown
18/10/1924,1924,October,Unprovoked,AUSTRALIA,Victoria,Port Melbourne,Bathing,Yes,No,M,Unknown,Leg bitten,No Fatal,Unknown,10' Shark
Unknown,1923,Unknown,Unprovoked,PHILIPPINES,Manila Bay,Fort Drum,Unknown,,,M,Unknown,"FATAL, abdomen severely bitten. Airplane summoned from Corregidor & injured man was lashed to wing, but he died",Fatal,Unknown,Unknown
22/08/1921,1921,August,Unprovoked,HAITI,Cape Haitien,Marine Dock,Dived into a school of baitfish,,,M,Unknown,"FATAL, large wound on thigh",Fatal,Afternoon,Comrades Saw Shark'S Tail Appear About 5' Away
12/09/1919,1919,September,Unprovoked,COSTA RICA,Turtle Bogue,Where Colorado River enters the sea,Swimming,Yes,No,M,Unknown,"FATAL, 6 men were taken by sharks as they neared the beach, 1 survived",Fatal,Unknown,Unknown
18/07/1917,1917,July,Unprovoked,USA,Florida,Florida Keys,Diving,No,No,M,Unknown,FATAL,Fatal,Afternoon,Unknown
13/01/1915,1915,January,Unknown,NEW ZEALAND,North Island,Otaki,Fishing,,,M,Unknown,Death may have been due to drowning,Unknown,Unknown,Unknown
01/01/1915,1915,January,Unprovoked,AUSTRALIA,New South Wales,"Sirius Cove, Sydney Harbor",Bathing,Yes,No,M,17,FATAL,Fatal,Unknown,Unknown
27/11/1913,1913,November,Unprovoked,NIGERIA,Lagos,Lagos,Boat swamped,,,M,Unknown,FATAL,Fatal,Unknown,Unknown
23/07/1912,1912,July,Unprovoked,USA,North & South Carolina,Sullivan's Island,Swimming,Yes,No,M,Unknown,Toes severed,No Fatal,Afternoon,8' Shark
01/01/1911,1911,January,Unprovoked,USA,Texas,"Texas City, Galveston",Swimming,Yes,No,M,Unknown,Minor injury to feet,No Fatal,Unknown,Unknown
08/08/1907,1907,August,Unprovoked,USA,New Jersey,Lower Delaware Bay,Wading,,No,M,Unknown,Abrasion to chest,No Fatal,Unknown,Unknown
14/02/1906,1906,February,Unknown,NEW ZEALAND,North Island,Mototapu Island,Swimming,Yes,No,M,Unknown,Shark involvement prior to death was not determined,Unknown,Unknown,Unknown
01/12/1901,1901,December,Unprovoked,PHILIPPINES,Zamboanga Del Sur Province,Port Isabela de Basilan,Taking catch from a fish weir in which the shark was snared,,,M,Unknown,Right thigh bitten,No Fatal,Unknown,Unknown
12/10/1899,1899,October,Unprovoked,LIBYA,Mediterranean Sea,Off Bengasi,Diving,No,No,M,Unknown,FATAL,Fatal,Unknown,Unknown
23/08/1899,1899,August,Provoked,USA,California,"Monterey Bay, Monterey County",Hunting sharks,,,M,Unknown,"FATAL, Drowned or crushed when harpooned shark smashed their boat PROVOKED INCIDENT",Fatal,Unknown,Basking Shark
04/12/1897,1897,December,Provoked,USA,East Coast,,Angling,,,M,Unknown,Hooked shark bit his leg PROVOKED INCIDENT,No Fatal,Unknown,Unknown
Unknown,1896,Unknown,Unknown,AUSTRALIA,Victoria,Hobson's Bay,Watercraft,,,M,Unknown,No injury to occupants. Shark bit boat several times,No Fatal,Night,12' To 14' Shark
17/12/1896,1896,December,Unprovoked,NEW ZEALAND,South Island,Hoiktika,Unknown,,,M,Unknown,FATAL,Fatal,Unknown,Unknown
18/09/1895,1895,September,Sea Disaster,CUBA,Havana Province,Havana Harbor,Shipwreck,,,M,Unknown,Probable drowning & scavenging,Unknown,Night,Unknown
24/06/1892,1892,June,Unknown,FRANCE,Brittany,Brest,Fishing,,,Unknown,Unknown,"No injury, no attack",Unknown,Unknown,Unknown
12/03/1887,1887,March,Unknown,AUSTRALIA,South Australia,Black Point,Watercraft,,,Unknown,Unknown,No injury to occupants,No Fatal,Unknown,13' Shark
21/01/1883,1883,January,Unprovoked,AUSTRALIA,New South Wales,"Iron Cove, Sydney",Bathing,Yes,No,M,37,FATAL,Fatal,Night,Unknown
01/01/1883,1883,January,Unprovoked,PACIFIC OCEAN,Unknown,,Fishing,,,M,Unknown,"FATAL, remains recovered from 2 sharks",Fatal,Unknown,14' Shark
20/01/1875,1875,January,Unknown,AUSTRALIA,Queensland,Mary River,Bathing,Yes,No,M,Unknown,Forehead bitten,Unknown,Unknown,Unknown
26/05/1870,1870,May,Unprovoked,AUSTRALIA,Queensland,Moreton Island,Fishing,,,M,13,bite to lower leg,No Fatal,Unknown,Unknown
11/05/1870,1870,May,Unprovoked,INDIA,"22ºn, 88ºe",Near Sobah Bazar,Bathing,Yes,No,M,40,3 lacerated irregular wounds on anterior left thigh,No Fatal,Unknown,Unknown
22/08/1867,1867,August,Unprovoked,EGYPT,Unknown,Port Said,Swimming,Yes,No,M,Unknown,FATAL,Fatal,Unknown,Unknown
12/02/1861,1861,February,Unprovoked,Unknown,Fernando Po Island,,Swimming,Yes,No,M,Unknown,FATAL,Fatal,Unknown,Unknown
Unknown,1853,Unknown,Unprovoked,USA,Florida,"Near Fernandina Bar, Nassau County",Body boarding,Yes,Yes,M,Unknown,FATAL,Fatal,Unknown,Unknown
01/12/1849,1849,December,Unprovoked,AUSTRALIA,New South Wales,"Woolloomooloo, Sydney Harbor (Estuary)",Bathing,Yes,No,M,Unknown,FATAL,Fatal,Afternoon,Unknown
08/06/1849,1849,June,Unprovoked,USA,Florida,"Pensacola, Escambia County",Bathing,Yes,No,F,Unknown,FATAL,Fatal,Unknown,Unknown
11/03/1847,1847,March,Sea Disaster,AUSTRALIA,Queensland,Moreton Bay,Wreck of the sovereign,,,M,Unknown,Foot severed,No Fatal,Unknown,Unknown
08/12/1846,1846,December,Sea Disaster,MEXICO,Veracruz,Vera Cruz,Wreck of the uss somers,,,M,Unknown,"FATAL, some were taken by sharks",Fatal,Unknown,Unknown
01/01/1828,1828,January,Unprovoked,USA,Hawaii,"Uo, Lahaina, Maui",Surfing,Yes,Yes,M,Unknown,FATAL,Fatal,Unknown,Unknown
22/05/1818,1818,May,Unknown,NORWAY,Unknown,Herøy,Unknown,,,M,Unknown,Probable drowning,Unknown,Unknown,Unknown
24/06/1817,1817,June,Unprovoked,USA,North & South Carolina,"Charleston Harbor, Charleston County",Swimming,Yes,No,M,Unknown,FATAL,Fatal,Unknown,Unknown
Unknown,Unknown,Unknown,Unprovoked,USA,California,"Capistrano, Orange County",Unknown,,,F,Unknown,Leg injured,No Fatal,Unknown,White Shark
07/12/2022,2022,December,Unprovoked,USA,Texas,,Surfing,Yes,Yes,M,Unknown,Foot bitten,No Fatal,Unknown,Blacktip Shark
18/05/2021,2021,May,Unprovoked,AUSTRALIA,New South Wales,Turncurry Beach,Surfing,Yes,Yes,M,59,FATAL,Fatal,Morning,White Shark
01/05/2021,2021,May,Unprovoked,JAMAICA,Westmoreland Parish,"Little Bay, Little London",Spearfishing,No,No,M,53,FATAL,Fatal,Morning,Unknown
30/04/2021,2021,April,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Yes,Yes,F,64,Foot bitten,No Fatal,Morning,Unknown
29/09/2020,2020,September,Provoked,USA,Florida,Near Key Largo,Unknown,,,M,Unknown,Minor lacerations to right foot when he stepped on the shark PROVOKED INCIDENT,No Fatal,Unknown,Nurse Shark
16/09/2020,2020,September,Unprovoked,AUSTRALIA,New South Wales,Cabarita Beach,Body boarding,Yes,Yes,M,Unknown,"No injury, board bitten",No Fatal,Afternoon,White Shark
08/09/2020,2020,September,,USA,Florida,Canaveral National Seashore,Surfing,Yes,Yes,M,54,Hand bitten that was holding a fish PROVOKED INCIDENT,No Fatal,Unknown,4' To 5' Shark
31/07/2020,2020,July,Unprovoked,USA,Alabama,"Orange Beach, Baldwin County",Swimming,Yes,No,M,14,Lacerations to foot and toes,No Fatal,Afternoon,Blacktip Shark
31/05/2020,2020,May,Unprovoked,BAHAMAS,Abaco Islands,NoName Cay,Spearfishing,No,No,M,Unknown,Lacerations to left hand,No Fatal,Unknown,Bull Shark
26/05/2020,2020,May,Unprovoked,SPAIN,Canary Islands,"Famara Beach, Lanzarote",Playing,,,M,9,Lacerations to both feet,No Fatal,Unknown,Angel Shark
08/05/2020,2020,May,Unprovoked,AUSTRALIA,Victoria,"Southside Beach, near Geelong",Surfing,Yes,Yes,M,Unknown,Leg injured,No Fatal,Afternoon,Unknown
23/11/2019,2019,November,Unknown,AUSTRALIA,Queensland,"Elliot Head, near Bundaberg.",Spearfishing,No,No,M,38,"Believed to have drowned. Partial remains washed ashore at North Beach, Mylestom, New South Wales on 17 December. Shark involvement prior to death could not be confirmed",Unknown,Unknown,Unknown
27/10/2019,2019,October,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Yes,Yes,M,32,Minor cuts when he jumped off his board and landed on the shark. PROVOKED INCIDENT,No Fatal,Morning,4' To 5' Shark
04/10/2019,2019,October,Unprovoked,USA,Guam,Talofofo Bay,Surfing,Yes,Yes,M,Unknown,Minor injury to left thigh,No Fatal,Unknown,Juvenile Shark
29/07/2019,2019,July,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Yes,Yes,M,18,3 lacerations to left hand,No Fatal,Afternoon,Unknown
20/09/2018,2018,September,Unprovoked,AUSTRALIA,Queensland,"Cid Harbor, Whitsundays",Swimming,Yes,No,F,12,Serious injury to left thigh,No Fatal,Afternoon,Unknown
15/08/2018,2018,August,Unprovoked,USA,Massachusetts,"Longnook Beach, Truro, Barnstable County",Swimming,Yes,No,M,61,"Lacerations to leg, hip and hand",No Fatal,Afternoon,White Shark
14/07/2018,2018,July,Unknown,USA,Florida,"Playalinda Beach, Brevard County",Surfing,Yes,Yes,F,14,"Laceration to left thigh, possibly caused by surfboard",No Fatal,Afternoon,Unknown
15/04/2018,2018,April,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Surfing,Yes,Yes,M,41,Laceration to right thigh,No Fatal,Unknown,Unknown
24/09/2017,2017,September,Unknown,USA,New York,Rockaway,Surfing,Yes,Yes,M,33,"Lacerations to right ankle, foot & toe",Unknown,Afternoon,Unknown
16/09/2017,2017,September,Unprovoked,SPAIN,Canary Islands,Gran Canaria,Surfing,Yes,Yes,M,13,Lacerations to right foot,No Fatal,Unknown,"Porbeagle, 1.5 M"
12/05/2017,2017,May,Unprovoked,UNITED ARAB EMIRATES,"Sharjah,",Khor Fakkan,Spearfishing,No,No,M,41,Right leg severely bitten,No Fatal,Morning,Unknown
29/04/2017,2017,April,Unprovoked,USA,California,"San Onofre, San Diego County",Swimming,Yes,No,F,Unknown,Major injury to posterior thigh,No Fatal,Afternoon,Unknown
19/03/2017,2017,March,Unprovoked,AUSTRALIA,New South Wales,The Farm,Body boarding,Yes,Yes,M,30,Minor,No Fatal,Afternoon,Unknown
06/02/2017,2017,February,Provoked,BRAZIL,Pernambuco,Fernando de Noronha Marine Park,Grabbing shark for a selfie,,,F,Unknown,"Minor injury to finger, PROVOKED INCIDENT",No Fatal,Afternoon,Lemon Shark
13/01/2017,2017,January,Unprovoked,USA,Florida,Jensen Beach,Unknown,,,M,Unknown,Minor injury to hand,No Fatal,Morning,Unknown
09/01/2017,2017,January,Unprovoked,INDONESIA,Bali,Balian Beach,Surfing,Yes,Yes,M,48,Injury to right wrist & forearm,No Fatal,Morning,Bull Shark
28/07/2016,2016,July,Unknown,AUSTRALIA,Western Australia,Near Albany,Watercraft,,,M,Unknown,"No injury, shark nudged kayak repeatedly",No Fatal,Unknown,White Shark
24/06/2016,2016,June,Unprovoked,COLUMBIA,Isla Providencia,,Diving,No,No,M,59,Severe bite to right hand,No Fatal,Morning,Reef Shark
12/02/2016,2016,February,Unprovoked,DOMINICAN REPUBLIC,Altagracia Province,"Bavaro Beach, Punta Cana",Wading,,No,F,Unknown,Avulsion injury to lower leg,No Fatal,Afternoon,Unknown
10/11/2015,2015,November,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Surfing,Yes,Yes,M,20,Injury to left thigh,No Fatal,Afternoon,Bull Shark
05/09/2015,2015,September,Provoked,USA,California,"Deer Creek Beach, Ventura County",Kayaking,,,M,29,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,No Fatal,Afternoon,Hammerhead Shark
06/07/2015,2015,July,Unknown,FRENCH POLYNESIA,Bora Bora,,Swimming,Yes,No,M,Unknown,Parallel lacerations to torso inconsistent with shark bite,Unknown,Unknown,Unknown
22/05/2014,2014,May,Provoked,AUSTRALIA,New South Wales,The Australian Shark and Ray Centre,Teasing a shark,,,M,10,Cut to tip of finger by a captive shark PROVOKED INCIDENT,No Fatal,Unknown,Nurse Shark
04/04/2014,2014,April,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Yes,Yes,M,11,Minor puncture wounds to lower left leg,No Fatal,Afternoon,Unknown
23/11/2013,2013,November,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,Yes,Yes,M,35,FATAL,Fatal,Morning,White Shark
21/09/2013,2013,September,Unprovoked,USA,Florida,"Carlin Park, Jupiter, Palm Beach County",Surfing,Yes,Yes,M,Unknown,Lacerations to left foream,No Fatal,Morning,Unknown
25/06/2013,2013,June,Unprovoked,USA,Florida,"Jacksonville, Duval County",Swimming,Yes,No,M,Unknown,Lacerations to left foot,No Fatal,Unknown,Bull Shark
16/06/2013,2013,June,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Queensberry Bay,Surfing,Yes,Yes,M,Unknown,Lacerations to knee,No Fatal,Morning,Unknown
04/05/2013,2013,May,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,Yes,Yes,M,16,Lacerations to left foot and ankle,No Fatal,Morning,A Small Shark
10/02/2013,2013,February,Unprovoked,USA,Florida,"Stuart Rocks, Martin County",Surfing,Yes,Yes,M,16,Lacerations to right hand,No Fatal,Afternoon,Blacktip Shark
30/12/2012,2012,December,Unprovoked,AUSTRALIA,New South Wales,Between Dee Why and Long Reef,Surfing,Yes,Yes,M,23,"No injury, chunk missing from surfboard",No Fatal,Morning,2.5 M Shark
06/09/2012,2012,September,Unprovoked,USA,Florida,"St. Augustine Beach, St. John's County",Surfing,Yes,Yes,M,37,Lacerations to foot,No Fatal,Morning,Unknown
31/03/2012,2012,March,Unprovoked,AUSTRALIA,Western Australia,Stratham Beach,Diving,No,No,M,33,FATAL,Fatal,Morning,White Shark
16/08/2011,2011,August,Unprovoked,FRENCH POLYNESIA,Society Islands,"Teahupoo, Tahiti",Surfing,Yes,Yes,M,32,"No injury, board bitten",No Fatal,Afternoon,Reef Shark
25/07/2011,2011,July,Unprovoked,USA,New Jersey,"Egg Harbor, Atlantic County",Fishing,,,M,Unknown,"No injury, shark bit boot",No Fatal,Night,Unknown
19/07/2011,2011,July,Unprovoked,USA,North & South Carolina,"Ocracoke Island, Hyde County",Body boarding,Yes,Yes,F,6,Lower right leg & foot bitten,No Fatal,Afternoon,Unknown
28/06/2011,2011,June,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,Aliwal Shoal,Diving,No,No,M,22,Severe lacerations to hands and  left leg,No Fatal,Morning,Bull Shark
29/05/2011,2011,May,Unprovoked,SOUTH AFRICA,Western Cape Province,Robberg Beach,Surfing,Yes,Yes,M,33,"No injury, board bumped by shark",No Fatal,Unknown,White Shark
10/05/2011,2011,May,Provoked,USA,Florida,Miami,Fishing,,,M,Unknown,Laceration to arm by captive shark PROVOKED INCIDENT,No Fatal,Unknown,"Sandbar Shark, 8'"
13/02/2011,2011,February,Provoked,AUSTRALIA,Queensland,Sunshine Beach,Fishing,,,M,Unknown,Lacerations to calf by hooked shark PROVOKED INCIDENT,No Fatal,Morning,1 M Shark
18/05/2010,2010,May,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon,Swimming,Yes,No,F,60,Severe lacerations to left foot,No Fatal,Afternoon,20 To 30Kg Shark
16/12/2009,2009,December,Unprovoked,NEW ZEALAND,South Island,Clark Island,Swimming,Yes,No,M,24,FATAL,Fatal,Unknown,White Shark
24/10/2009,2009,October,Unprovoked,USA,California,"San Onofre, San Diego County",Surfing,Yes,Yes,M,Unknown,"3 puncture wounds to big toe of left foot, and laceration on arch of foot",No Fatal,Afternoon,Unknown
22/07/2009,2009,July,Unprovoked,USA,Florida,"Intracoastal Waterway,      St. Petersburg",Swimming,Yes,No,F,19,Laceration to lower right leg,No Fatal,Afternoon,Unknown
25/04/2009,2009,April,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,Yes,Yes,M,Unknown,No injury,No Fatal,Morning,Unknown
06/03/2009,2009,March,Unprovoked,NEW CALEDONIA,South Province,Bourail,Surfing,Yes,Yes,M,19,FATAL,Fatal,Morning,Unknown
24/01/2009,2009,January,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Batemans Bay",Swimming,Yes,No,M,19,Hand injured,No Fatal,Afternoon,Unknown
28/08/2008,2008,August,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Yes,Yes,M,19,Superfical cut to left ankle,No Fatal,Morning,Unknown
01/06/2008,2008,June,Unprovoked,BRAZIL,Pernambuco,"Piedade, Recife",Swimming,Yes,No,M,14,"Hand severed, buttocks bitten",No Fatal,Afternoon,Bull Shark
15/04/2008,2008,April,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,Yes,Yes,M,30,Puncture wounds to right foot,No Fatal,Afternoon,1.5' To 2' Shark
21/03/2008,2008,March,Unprovoked,USA,Florida,"Beachway Avenue Approach, New Smyrna Beach, Volusia County",Wading,,No,M,14,Two 3-inch lacerations to right ankle,No Fatal,Afternoon,Unknown
03/09/2007,2007,September,Unprovoked,USA,Florida,"Fort Lauderdale, Broward County",Swimming,Yes,No,M,58,3 laceration to left forearm,No Fatal,Morning,Possibly A Spinner Shark
21/03/2007,2007,March,Unprovoked,USA,Florida,Jupiter Inlet,Surfing,Yes,Yes,M,11,Punctures & lacerations to right calf & calf,No Fatal,Evening,4' To 5' Shark
19/04/2006,2006,April,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,,No,F,13,3 tiny punctures & small lacerations on right ankle,No Fatal,Afternoon,Unknown
25/11/2005,2005,November,Unknown,AUSTRALIA,Victoria,"6 km off Collendina, south of Melbourne",Watercraft,,,Unknown,Unknown,"No injury to occupant, shark bit outboard motor",No Fatal,Unknown,White Shark
24/11/2005,2005,November,Unprovoked,NEW CALEDONIA,Loyalty Islands,Maré,Spearfishing,No,No,Unknown,Unknown,Arm bitten,No Fatal,Evening,Unknown
